Entry Date,Exit Date,Stock,Trade Type,Shares,Entry Price,Exit Price,Capital Allocated,Stock return,Reason,weight,portfolio return,profit/loss,portfolio value,Cumulative Return
30-11-2018,31-12-2018,HINDUNILVR.NS,Long,104,1612.912964,1673.282349,167742.9483,0.037428793,End of Period,0.460007172,0.017217513,6278.41604,371134.7905,2.674603218
30-11-2018,31-12-2018,INFY.NS,Long,339,580.5491333,573.1558228,196806.1562,-0.01273503,End of Period,0.539992828,-0.006876825,-2506.332259,362350.0422,2.649333616
31-12-2018,31-01-2019,HINDUNILVR.NS,Long,102,1673.282349,1621.418823,170674.7996,-0.030995083,End of Period,0.467357087,-0.014485772,-5290.079652,363339.1609,2.596470202
31-12-2018,31-01-2019,INFY.NS,Long,342,573.1558228,655.5437622,196019.2914,0.143744399,End of Period,0.532642913,0.076564435,28176.67527,396805.9158,2.871831912
31-01-2019,28-02-2019,INFY.NS,Long,308,655.5437622,642.2062988,201907.4788,-0.020345649,End of Period,0.516050379,-0.01049938,-4107.938727,387405.3124,2.831180078
31-01-2019,28-02-2019,HINDUNILVR.NS,Long,116,1621.418823,1593.280396,188084.5835,-0.0173542,End of Period,0.483949621,-0.008398559,-3264.057532,388249.1936,2.799003687
28-02-2019,28-03-2019,BAJFINANCE.NS,Long,37,2600.329834,2940.807373,96212.20386,0.130936289,End of Period,0.256847269,0.033630628,12597.66894,396712.1267,2.926766568
28-03-2019,30-04-2019,ICICIBANK.NS,Long,630,385.3127747,391.9983521,242747.0481,0.01735104,End of Period,0.612206616,0.010622422,4211.913762,401244.382,2.968478338
28-03-2019,30-04-2019,BAJFINANCE.NS,Long,52,2940.807373,3039.067871,152921.9834,0.033412762,End of Period,0.387793384,0.012957248,5109.545896,402142.0142,3.019898897
30-04-2019,31-05-2019,ICICIBANK.NS,Long,642,391.9983521,407.5821838,251662.942,0.03975484,End of Period,0.619613011,0.024632616,10004.81995,416399.1827,3.118919523
30-04-2019,31-05-2019,BAJFINANCE.NS,Long,50,3039.067871,3403.398926,151953.3936,0.1198825,End of Period,0.380386989,0.045601743,18216.55275,424610.9155,3.306749434
31-05-2019,28-06-2019,ICICIBANK.NS,Long,656,407.5821838,420.4724121,267373.9126,0.031626084,End of Period,0.615635126,0.019470128,8455.989765,443393.2002,3.390602397
31-05-2019,28-06-2019,BAJFINANCE.NS,Long,49,3403.398926,3613.467041,166766.5474,0.061723036,End of Period,0.384364874,0.023724167,10293.33764,445230.5481,3.494765781
28-06-2019,31-07-2019,ICICIBANK.NS,Long,689,420.4724121,410.4432373,289705.4919,-0.023852159,End of Period,0.639379911,-0.015250591,-6910.101437,446813.9152,3.426217945
31-07-2019,30-08-2019,ICICIBANK.NS,Long,403,410.4432373,395.9916992,165408.6246,-0.03520959,End of Period,0.370711893,-0.013052614,-5823.969854,440980.4873,3.368444232
31-07-2019,30-08-2019,INFY.NS,Long,399,703.9180298,722.7655029,280863.2939,0.026775096,End of Period,0.629288107,0.01684925,7520.141767,454324.5989,3.44204924
30-08-2019,30-09-2019,ICICIBANK.NS,Long,484,395.9916992,419.2398376,191659.9824,0.058708651,End of Period,0.427377158,0.025090736,11252.09899,459752.91,3.553503526
30-08-2019,30-09-2019,INFY.NS,Long,355,722.7655029,714.5613403,256581.7535,-0.011351071,End of Period,0.572622842,-0.006499883,-2912.477723,445588.3333,3.523906288
